id_1,id_2
1505,2245
1505,1380
1505,3128
1505,2529
1505,2085
1505,2162
1505,175
1505,293
1505,467
1505,2671
2162,338
2162,2865
2162,2245
2162,1380
2162,3128
2162,2529
2162,2085
2162,1505
2162,175
2162,293
2162,467
2162,2671
175,338
175,2865
175,2245
175,1380
175,3128
175,2529
175,2085
175,1505
175,2162
175,293
175,467
175,2671
293,338
293,2865
293,2245
293,1380
293,3128
293,2529
293,2085
293,1505
293,2162
293,175
293,467
293,2671
467,338
467,2865
467,2245
467,1380
467,3128
467,2529
467,2085
467,1505
467,2162
467,175
467,293
